Knr;Kommune;Folketall;Barnehage;Grunnskole;25-66_År;Andel_Sysselsatte;Eldre;Korrigert_netto_driftsresultat;Netto_lånegjeld;Disposisjonsfond;Kostnadsnivå_(dagens);Inntektsnivå
237;Eidsvoll;6;4,5;5,8;6;2,4;3,9;5,7;3,6;6;6;1
941;Bykle;6;5,2;6;5,6;5,6;6;6;6;6;1;6
137;Våler;6;3,9;6;6;3,4;6;5,3;4;6;4,1;1,6
1657;Skaun;6;2,9;6;6;4,2;3,1;5,3;1;6;6;1,4
1243;Os;6;4,4;6;6;3,7;5,9;3,5;3,5;5,4;6;1,1
211;Vestby;6;3,4;5,3;5,5;3,6;6;4,2;1,9;6;5,7;1,4
1018;Søgne;5,6;4,2;4,7;6;3,1;5,1;4,3;4;5,1;6;1,4
618;Hemsedal;6;2,9;5,6;6;4,4;4,5;4,8;4,6;5,6;3,4;3
1124;Sola;6;4,1;5,9;6;3,5;4,8;4,7;3,3;4,6;4,5;2,2
233;Nittedal;5,1;2,7;4,6;5,5;4,2;6;4,2;4,7;4,9;5,4;1,2
1644;Holtålen;3,4;5,4;4,1;4,2;4,4;6;6;4,8;5,1;4,9;2,2
1102;Sandnes;6;4;5,4;6;3,4;3,8;3,7;4,1;5,3;5,1;1,6
1834;Lurøy;1,9;1;4,2;2,9;4,7;6;6;5,6;6;6;2,5
627;Røyken;5,8;3,3;4,8;5,9;4,1;6;3,1;6;3,2;5,9;1,2
1246;Fjell;6;5,2;4,4;6;3,5;5,7;3,5;3,6;4,4;5,4;1,3
1142;Rennesøy;6;3,3;5,2;6;5,3;1;4,9;2,4;4,4;5,8;1,8
227;Fet;5,3;3,3;5,5;5,5;4;5,9;4,4;1;4,3;5,5;1,2
1119;Hå;5,1;2,6;5,6;5,2;5,4;3,3;4,5;2,6;5,2;5,4;1,1
1120;Klepp;5,7;3,6;5,1;6;5,1;5,5;3;4,9;4,3;5;1,3
238;Nannestad;6;4,8;3,8;6;3,4;5;3,1;2,3;5,2;6;1
221;Aurskog-Høland;5,2;4,5;5,2;5,2;3,1;3,4;4,2;4,2;4,6;6;1
706;Sandefjord;4,3;3,6;4,2;4,7;1,6;4,3;5,9;6;3,8;5,8;1
1032;Lyngdal;5,9;4,3;5,3;5,6;3,2;4,9;3,5;4,8;3,3;5,4;1,3
1017;Songdalen;5,3;2,9;4,9;5,6;2,4;6;3,6;3,1;4;5,6;1,6
231;Skedsmo;5,6;5;4,4;6;3,1;4,6;3,3;4,4;4,3;5,6;1,2
1014;Vennesla;5,6;3,6;5,6;6;2;3,8;4,1;4,1;4,9;4,6;1,6
1529;Skodje;6;3,6;6;5,5;3,7;2,5;4,6;3,6;4,3;4,4;1,1
602;Drammen;5,2;4,6;4,7;5,4;1,7;3,9;3,6;2,1;5,8;6;1,3
702;Holmestrand;5,1;3,4;4,8;5,1;1,8;4,7;3,9;2,6;5,2;5,9;1
1247;Askøy;6;3,2;5,6;6;3,5;5,8;3,4;2,4;;5;1,1
1547;Aukra;4,7;2,8;4,8;5,1;4,1;3,6;6;6;6;1;6
230;Lørenskog;5,5;5,1;4,4;5,4;3,1;5,8;3,5;1,1;4;5,8;1,5
235;Ullensaker;6;4,1;5,3;6;3,3;5,8;2,8;2,1;3,3;5,7;1
1034;Hægebostad;4,5;3;4;5,4;6;6;4,2;5,1;4,7;3,3;2,5
1744;Overhalla;4,1;3,5;5,5;3,8;4,9;3,1;4,7;2,5;4,5;5,9;1,5
1245;Sund;6;3,1;6;5,6;2,5;4,2;3,1;4,2;3,3;5,4;1,4
1216;Sveio;5,5;2,9;6;4,3;3,6;3;3,7;5,1;4,6;4,7;1,5
217;Oppegård;4,2;3,2;4,1;4,5;4,1;4,7;3,9;4,3;5;5,5;1,5
215;Frogn;3,9;3,4;3,7;4,1;4;5,9;4,2;1,8;5;6;1,4
214;Ås;6;5,1;6;6;2,7;4;2,4;3,4;3,7;5,5;1,5
1256;Meland;6;4,2;6;6;3,5;4,3;3,2;2,9;3,1;4,7;2
929;Åmli;3,4;3,9;4,5;3;1,8;6;5,3;4,2;4,6;4,6;3,4
935;Iveland;5,5;3,1;6;4,9;2,7;1,1;4,4;5,3;6;3;3,7
234;Gjerdrum;4,8;2,7;3,5;5,5;5,2;4,5;4,3;1,2;5,2;4,9;1,3
220;Asker;4;3,5;4,3;4,5;3,8;4,2;5,3;2,9;4,9;4,6;2
919;Froland;4,7;1,8;5,4;4,9;2,1;3,1;4,8;2,4;4,2;5,5;1,7
926;Lillesand;6;3,7;6;6;2,7;5,1;3,8;1,9;2,5;4,5;1,6
1420;Sogndal;5,8;6;3,4;6;4,9;4,4;3,7;4;3,6;4,2;1,7
1027;Audnedal;4,6;2,8;5,2;5,5;5,4;3,4;3,8;4,3;6;3,4;2,3
713;Sande;5,9;4,8;4,8;5,9;2,8;4;3,4;3,1;3,2;5,4;1
1122;Gjesdal;6;4,5;5,9;5,7;4,9;4,5;1,8;2,8;3;5,6;1,4
622;Krødsherad;3,6;2,4;6;2,9;3,3;2;4,4;6;5,9;5;1,8
226;Sørum;6;3,8;5,8;6;3,7;4;3,2;1;2,9;5,4;1,3
1151;Utsira;2,6;1;4,6;3,4;6;5,7;4,7;6;6;2,4;6
1121;Time;5,2;2,6;5,8;5,1;4,7;4,5;3,5;3,9;2,8;4,8;1,5
104;Moss;4,8;3,8;5;4,9;1;4,3;3,4;3,9;4;6;1,4
236;Nes;5;4,3;4,7;4,8;3,1;4,4;2,7;5;4,1;5,6;1
626;Lier;5,3;2,8;5;5,5;3,6;5;3,1;2,2;2,9;5,7;1,4
1638;Orkdal;4;2,4;4,6;3,9;3,3;2,8;4,3;4,7;4,9;5,8;1
228;Rælingen;5,6;2,4;6;5,4;3,8;6;2,4;1,9;2,6;5,4;1,5
438;Alvdal;2,7;2,4;4,1;3,7;6;1,2;5,3;5,4;4,7;5,8;2,3
1865;Vågan;3,8;4,6;3,6;4,1;3,3;2,7;5,3;4,8;4;5,5;1,6
533;Lunner;4,1;2,9;4,7;3,7;3,2;3;4,8;3,5;4,2;5,8;1,2
1259;Øygarden;5,4;4,4;4,7;5,4;1,5;2;6;4,9;5,1;1;6
1640;Røros;3,8;6;2,8;3,7;5,3;2,2;5,2;4,1;3,2;6;2
1648;Midtre Gauldal;4,7;5,9;5;4,9;5,2;2,9;4,2;3,6;2,7;5;1,2
229;Enebakk;4,8;1,8;4,9;4,7;3,4;5,3;2,5;2,3;3,9;6;1
135;Råde;4,6;3,7;4,8;4,6;2,8;4,8;3,1;5,1;3,3;5,4;1,2
1653;Melhus;4,8;3,9;4,3;5,2;4,2;3,2;3,2;2,8;4;5,6;1,3
719;Andebu;5,3;3,6;4,7;5,3;3;2,6;1,9;4,7;4,9;5,8;1
937;Evje og Hornnes;4,7;2,1;6;4,9;3,3;2,6;3,1;4,7;4;5,1;1,6
417;Stange;3,8;2,8;4,8;4,1;2,8;3;4,2;4,7;4,8;5;1,6
928;Birkenes;6;4,7;6;6;2,7;4;2,9;2,7;2,4;4,5;1,8
1531;Sula;4,8;1,6;6;5;4,4;1,6;2,9;2,9;4,2;5,9;1
1144;Kvitsøy;2,9;6;1;2,9;6;4,5;4,7;5,7;6;3,8;3,8
216;Nesodden;4,3;2,8;4,4;4,2;3,6;4,8;3;3,9;3,7;5,8;1,2
1519;Volda;4,7;5,9;3,9;5;2,8;2,8;4,5;2,6;4,2;4,8;1,2
704;Tønsberg;4,6;4;5,2;4,7;2,4;3,3;4,6;2,8;2,6;5,3;1
415;Løten;3,4;3,3;4,5;3,2;2,4;3,3;3,6;4,5;5,7;5,7;1,3
1516;Ulstein;5,4;4,3;3,7;5,7;3,7;4,3;3,3;1;2,8;5,5;1,5
1244;Austevoll;5,7;4,8;5,7;5,3;5;4,2;1;2,9;2,3;5,8;2
1429;Fjaler;3,1;4,3;6;2;5,8;3,7;4,7;4,4;2;5,4;1,7
1833;Rana;2,5;2,9;3,7;3,2;3;3,7;5,6;3,3;5,4;4,7;2
122;Trøgstad;3,4;1,6;4,7;3,8;3;1,8;4,3;4,9;5,6;5,1;1,2
532;Jevnaker;3,6;2,3;4;4,1;3;3,4;4,2;4,4;4,7;5,4;1
628;Hurum;3,1;1,1;3,3;3,6;2,6;3,6;4,6;5,7;4,1;5,9;1,1
1751;Nærøy;3;3,4;4,4;3,8;3,7;3,2;4,7;3,9;3,6;5,6;1,5
1227;Jondal;5,3;5,4;5,1;4,8;4,3;1;1,9;5,4;3,5;5,2;3,9
1432;Førde;4,3;2,7;3,4;4,8;5,6;4,8;3,8;2,7;3,5;4,6;1,7
1037;Kvinesdal;3,9;3,1;4,3;4,3;2,6;4;5,1;4,2;5,1;2,5;3,5
1263;Lindås;5,5;4,4;4,5;5,2;3,3;3,4;2,4;4,5;4,6;3,5;3,1
807;Notodden;4;3,6;4,1;4,3;1,2;1,9;4,6;4;4,6;5,3;1,9
1743;Høylandet;2,3;1,9;2,5;1,9;6;5,1;4,5;4,9;4,5;5,4;2,1
1127;Randaberg;4,2;3,6;3,9;4,8;4,1;5,4;3,4;4,4;3,9;3,9;2,1
1717;Frosta;3,4;4,8;3,3;4,3;2,4;3,9;4,5;4;4;5,2;1,6
402;Kongsvinger;3;1,9;3,9;3;1;3,1;5,1;4,1;4,4;6;1
624;Øvre Eiker;4,8;4,6;4,2;5;2,9;3,5;2,5;3,4;3,2;6;1
412;Ringsaker;3,4;2,8;3,5;3,9;3,4;3,4;3,6;3,9;5,9;5;1,3
1221;Stord;4,7;4;4,4;4,8;3,4;4,4;3,3;3;3,1;4,8;1,5
1002;Mandal;3,9;3,8;4;4,2;1,6;2,8;4;3,1;4,2;5,7;1,3
219;Bærum;3,8;3,3;4,3;4,3;3,7;2,4;3,4;4,5;5,4;4,4;2,2
1443;Eid;3,1;2,7;4,3;3,5;5;3,8;4,2;2,4;3,7;5,5;1,3
1714;Stjørdal;5,1;3,2;4,4;5,8;3,5;3,9;2,7;1,1;2,9;5,7;1
1528;Sykkylven;2,2;2,1;2,5;2,5;4,9;1,8;6;3,7;4,7;6;1
1703;Namsos;3,2;3,4;3,6;3,3;3,7;2,2;4,8;4,1;4,3;5,3;1,5
1835;Træna;5;6;1,3;4,6;4,1;4,7;4,4;3,1;3,2;3,2;4,5
1252;Modalen;3,9;6;2,5;2,7;3,4;6;4,4;6;5,1;1,1;6
2004;Hammerfest;4,2;3,4;4,1;4,6;3,7;3,3;5,5;1;4,7;1,6;6
136;Rygge;4,2;3,6;3,7;5;2,2;4,7;4;2,3;3,5;4,8;1,3
1804;Bodø;4,3;3,7;4;4,4;3,5;4,6;2,9;3,9;2,6;5,4;2
541;Etnedal;1,3;5;1,6;1,4;4,9;3,6;6;6;6;4,1;2,6
1826;Hattfjelldal;1,9;2;3,2;3,1;5;3,2;6;5,2;6;2,5;4
722;Nøtterøy;3,6;2,7;4,4;3,8;2,6;3,2;3,6;4;4,2;5,6;1,1
1548;Fræna;3,5;3,8;3,3;3,2;4,4;4;4,6;3,6;3,8;4,4;1,9
1149;Karmøy;3,4;2,3;4,4;3,6;2,3;4,7;4;5,3;3,4;4,8;1,3
821;Bø;5,6;3,8;5,4;5,5;1,3;1;3,7;4,1;2,2;4,8;1,8
512;Lesja;1,3;2,7;2,2;1,4;5,3;2,2;6;5,1;5,4;5;3,3
904;Grimstad;5,1;4,3;4,4;5,4;1,2;4,4;2,5;4,6;3;4,8;1,6
617;Gol;2,8;2,9;3,5;3,6;5,8;3,1;3,9;2;5,2;4,9;2,5
1663;Malvik;5;2,9;4,6;5,4;3,8;5,9;2,1;4,4;1,6;4,8;1,1
2015;Hasvik;3,1;1,6;3,9;3,9;1;2,5;6;5,7;6;1,8;4,8
625;Nedre Eiker;4,7;3,3;4,4;5,1;2,5;4,1;2,8;3,6;1,7;6;1
1860;Vestvågøy;3,8;2,9;4,7;4,2;2,7;3,2;4,1;4,1;3,1;4,9;1,7
427;Elverum;4,5;4,2;4,1;4,7;2,6;2,6;4,1;3,5;2,2;5,4;1,5
1702;Steinkjer;3,6;3,6;4,7;3,6;3,2;3;3,2;3,8;3,7;5,8;1,3
1114;Bjerkreim;4,1;2,7;4;4,2;6;2,1;3,4;6;3,6;4,2;1,9
1866;Hadsel;3,1;3,1;4,2;3,3;2,2;4;5,7;3,1;3,5;4,3;1,3
1130;Strand;4,4;3,6;4,6;4,5;3,2;3,8;2,8;3,8;3,4;4,8;1,6
1520;Ørsta;3,5;3,4;3,8;3,6;4,3;2;4,1;3,6;3,9;5,4;1,5
811;Siljan;2,1;1,6;3,2;3;4,4;2,6;4,7;4,1;5,8;5;1,7
1001;Kristiansand;4,8;3,5;5;4,9;1,9;3,5;2,8;2,8;2,5;5,6;1,6
1021;Marnardal;3,7;2,8;5,1;3,8;2,3;1;4,7;3,9;6;2,9;3,2
502;Gjøvik;4,1;3,6;4,2;4,2;2,6;3,1;2,9;4,4;4,1;5,1;1,5
1634;Oppdal;3,7;3;3,9;4,1;4,3;3,2;3;4,3;3,9;5;2,1
1201;Bergen;3,8;3,6;3,9;4,1;2,6;3,5;3,8;6;2,9;4,8;1,7
720;Stokke;4,5;4,1;4,2;4,7;2,9;5,4;2,5;4,4;4;3,8;1
1924;Målselv;3,7;4,5;4,5;3,5;4,8;3,4;3,1;5,9;2,9;4,7;2,3
1433;Naustdal;3,1;1,4;5;3,6;5,7;2,8;6;1;1,9;4,5;1,7
1101;Eigersund;3,9;3,7;3,9;3,8;3,6;3,5;4,2;4,5;4,7;3,1;1,6
403;Hamar;3,8;4;4,3;3,8;2,8;1,6;4,2;4,3;4,6;4,2;1,9
1232;Eidfjord;3,1;6;3;2,7;5,9;1,9;6;4,4;5,3;1;6
1504;lesund;4,5;4;3,9;4,6;3,4;2,8;3,9;4,2;2,3;4,7;1,4
1441;Selje;1,6;5,1;1,9;2;4,9;3,3;6;4,2;4,1;5,1;1,5
1003;Farsund;3,8;5,1;3,2;4,3;3,9;3,9;3,8;3,5;3,4;4,4;1,7
1103;Stavanger;2,9;2,7;4;3,1;2,5;3;4,3;6;4,5;4,2;2,4
1253;Osterøy;5,2;6;3,9;4,9;4,2;2,9;2,3;3,5;2;5,3;1,4
1665;Tydal;2,1;2,6;2,5;3,7;6;4,5;4,9;5,5;6;1;6
1617;Hitra;4,8;6;3,9;4,8;3,9;3,9;1,4;1;3,6;5,6;1,9
1146;Tysvær;4,2;2,4;4,4;4,5;4,5;4,5;3,7;2,9;4,1;2,4;3,6
1106;Haugesund;4,6;4,6;4;4,7;1,7;2,8;2,9;4,7;2,6;5,3;1,5
1428;Askvoll;1,5;2,4;3;1,3;4,7;4,8;5,1;4,1;4,1;5,2;1,4
544;Øystre Slidre;2,9;2,9;3,8;2,8;6;2,7;3,8;4;6;3,3;2
1740;Namsskogan;1;1;2,7;2,1;4,5;4,3;6;4,7;6;2,3;6
301;Oslo;5,7;3,5;5;5,9;1,9;2,7;1,7;3,8;3,5;4,1;2
1026;seral;3,7;2,6;2,4;5,6;4,9;1,4;4,5;6;6;1;6
711;Svelvik;3,9;4,2;3,2;4;2;4,9;3;4,3;2,3;6;1,2
138;Hobøl;5,4;2,1;5,2;5,8;2,7;3,6;2,8;4,3;1;4,5;1,3
1859;Flakstad;1,9;2,1;3,3;3;3,8;5;5,2;4,8;1,7;5,3;2,6
124;Askim;4,1;2,6;5;3,8;1;3,6;2,7;4,6;3,6;5,1;1,4
434;Engerdal;1;2,7;1;1;5;5;3,9;5,3;5,6;6;2,5
1719;Levanger;4,1;4,3;4,3;3,9;3,7;3,6;3,2;1;3;5,5;1,3
1141;Finnøy;4,9;3;5,1;5,4;6;2,4;2,3;3,6;3,1;3,4;2,6
1502;Molde;4,2;4,4;4,6;4,2;4;2,9;4;1;3,1;4,4;1,8
1449;Stryn;3,5;3,8;3,5;3,5;6;3,5;3,6;3,4;2,4;5,3;1,2
105;Sarpsborg;3,9;3,3;4,1;4,2;1;3,9;3,1;3,6;3,5;5,2;1,4
1920;Lavangen;3,1;1;5;3;1,8;3,2;4,7;3,8;5,1;3,1;2,8
1211;Etne;3,6;1,7;4,9;3,9;4,9;2,6;3;4,3;3,9;4,5;1,5
436;Tolga;1,8;3,4;3,1;2,7;5;1,2;4,9;4,7;4,3;5,5;1,8
1235;Voss;3,6;3,4;4,3;4;5,1;2,4;3,6;4,7;3,4;4;2,1
1621;Ørland;3,9;5,1;3,5;5;2,9;4,6;3,1;1;2,3;5,7;1,2
604;Kongsberg;4,5;2,9;4,8;4,5;2,9;3,6;2,9;3,3;2,2;4,7;1,8
1822;Leirfjord;3,3;2,2;5,7;3;1,5;1,5;4,3;4,6;3,6;4,7;2,1
1601;Trondheim;4,4;3,6;4,4;4,3;2,4;2,9;3,1;2,9;2,8;5,1;1,7
1871;Andøy;2,2;4,1;3,3;2,7;2,3;3,6;5;4,9;2,2;6;1,8
2027;Nesseby;3,4;1;6;1,2;1;6;3,7;3;4,4;2,3;5,9
119;Marker;2,3;4,1;2,9;2,8;2,1;3,3;4,5;4,9;3,3;6;1,1
623;Modum;3,8;3;5,1;3,6;2,2;3,5;3,2;5,7;2,6;4,6;1,5
1417;Vik;1,4;3,3;2,9;1,7;6;1,6;6;4,1;6;2,7;4,6
127;Skiptvet;4,3;3,5;4,1;4,2;3,4;1;3,8;5,6;3,5;4,1;1,6
615;Flå;3,9;4,4;6;2,9;3,7;2,3;4,4;4,5;3,8;1,7;4,1
101;Halden;4,1;3,4;4,2;4,4;1;2,7;4,3;3,4;1,3;5,7;1,3
1224;Kvinnherad;2,2;3;3;2,7;3,7;3,7;6;2,8;5;3;2,3
1711;Meråker;3,1;2,4;5,3;3,7;2;1;4,2;3,8;3,8;5;2,1
1517;Hareid;3,9;3,8;5,4;4;3,2;2,2;3;3,2;2,3;5,4;1,3
213;Ski;4,4;3,2;4,3;4,8;3,7;5,4;1,2;1,6;2,7;5,7;1,1
714;Hof;3,8;2,3;2,2;4,5;3,1;2,8;3,5;5,5;3;5,3;1,2
520;Ringebu;2,6;2,9;4,1;3;3,8;1,7;3,4;3,9;5,2;5;2,3
1825;Grane;1,8;2,2;1,7;1,9;4,1;4,5;5,1;4,6;3,5;4,8;3,2
123;Spydeberg;4,9;3,4;5;4,9;2,8;4,2;1,9;4,6;2,3;4,1;1,3
1931;Lenvik;4,4;3,5;4,3;4,7;3,2;4;2,8;2,6;2,6;4,3;1,8
1046;Sirdal;3,5;1,5;4,9;4,1;6;1;3,7;4,4;5,8;1;6
633;Nore og Uvdal;2;2,5;2,3;2,6;6;1,4;5,1;5,4;5,2;2,6;6
1622;Agdenes;1,4;2,8;4,5;3,1;4,5;1;2,9;6;4,8;6;1,7
239;Hurdal;4,4;3;6;4,4;2,5;3,3;1,1;5,1;3,1;4,8;1,3
1941;Skjervøy;3,5;3,8;3,8;4,5;3,1;3,9;3,7;3,1;3,4;3,4;3,3
605;Ringerike;3,6;3,1;4,5;3,4;2;3,3;3,8;4,5;1;5,7;1,3
1662;Klæbu;5;3,7;4;6;4,5;6;1;3,3;3;3,4;1,2
1251;Vaksdal;3,3;6;3,1;3,9;2,5;1,6;3,9;5;4,5;3,5;3,5
1260;Radøy;4,4;4;3,7;4,8;3,3;2,4;3,2;5,1;2,3;4,3;1,6
806;Skien;3,4;2,4;4,4;3,5;1,5;3,4;2,8;3,7;3,2;5,8;1,3
1112;Lund;2,6;2,1;4,4;3;4,7;3,4;3,7;5;3,9;3,9;1,3
1736;Snåsa;2;4,7;3,7;2,4;5,1;3,9;3;4;3,8;5,1;2,4
834;Vinje;3,4;4,7;4;3,5;5,9;2,5;4,2;4,8;4,2;1;6
2003;Vadsø;3;4,8;2,5;4,3;2,5;5,6;4,1;1,4;3,3;3,9;2,9
901;Risør;3,4;4,4;3,7;3,1;1;2,2;3,8;3,1;3,9;5,3;1,5
906;Arendal;4;2,9;4,7;4,1;1;3,8;2,2;2,2;3;5,7;1,4
716;Re;4,3;3,1;4,6;4,4;3,7;3,3;2,4;3,3;2,3;4,7;1,2
829;Kviteseid;2,2;1,6;2,7;2,5;4,8;2,4;4,3;5,7;3,7;4,8;1,8
2011;Kautokeino;1,9;2,9;2,6;1,5;1,8;6;6;5;3,2;2,8;3,4
612;Hole;6;2,2;6;5,6;3,3;2,7;1;4,2;1;4,5;1
125;Eidsberg;4,1;4;3,7;4,6;1,7;2,1;2,6;3,8;2,5;6;1
1756;Inderøy;2,5;3,6;2,9;1,7;3,5;3,7;;;3,4;6;1,3
