Knr;Kommune;Folketall;Barnehage;Grunnskole;25-66_År;Andel_Sysselsatte;Eldre;Korrigert_netto_driftsresultat;Netto_lånegjeld;Disposisjonsfond;Kostnadsnivå_(dagens);Inntektsnivå
501;Lillehammer;4,1;4,6;3,8;4,4;3,8;2,7;2,6;3,7;2,2;5,1;1,6
822;Sauherad;3,2;2,6;4,3;3,3;2,5;3,2;3,5;3,6;2,5;5,2;1,6
709;Larvik;3,7;3,1;4,3;3,8;1,7;3,4;2,8;2,3;2,5;5,9;1
828;Seljord;3,2;1;5,1;2,9;4;1,7;3,7;3,4;3,6;4,2;2,5
1430;Gaular;3,5;1,2;5,4;3,8;5,7;1,5;3,2;4,6;2;4,5;1,7
1233;Ulvik;2,3;2,6;4;2;4,6;1,6;4,6;5,6;5;2,7;4
1664;Selbu;3,1;5,4;3,1;3,5;4,8;3,1;3,6;3,4;2,8;4,4;2,5
723;Tjøme;2,9;5,6;3,6;2,4;1,1;4,6;3;2;4,9;5;1
1624;Rissa;3,3;5,2;3,4;3,8;2,5;3,2;3,2;1;3,3;5,7;1,5
1824;Vefsn;2,5;2,4;4;2,5;3,5;4,2;2,9;3,9;4,3;4,3;2,1
1554;Averøy;3,3;1,4;3,7;3;3,6;3,6;3,5;2;3,3;4,8;1,7
1571;Halsa;1,3;2,9;2,2;1,1;2,8;2,2;4,8;5;4,8;5,4;2,3
1856;Røst;2;6;2,3;2;3,3;2,9;4,9;3,5;4;3,6;5
631;Flesberg;3,6;2,9;3,3;3,4;5,4;2,9;3;6;2,6;3,8;2,2
1939;Storfjord;1,9;2,2;2,2;1;2,2;5,3;5,5;3,6;4,2;3,1;4,1
1532;Giske;5,4;4,5;4,3;5,7;4,3;2,6;2,5;1,7;1;4,2;1,3
1004;Flekkefjord;3;2,5;4,4;3,4;3,2;2,2;3,8;2,9;3,4;4,4;1,8
1567;Rindal;3,3;2,6;3;3,7;5,3;3,1;3;4,3;3,3;4;2,3
106;Fredrikstad;4,4;3,8;4,3;4,6;1,1;3,9;1,9;3;3;4,8;1,4
1903;Harstad;3,4;3;4,6;3,3;2,9;3,3;;;2,5;4,1;2,1
1264;Austrheim;5,4;4,4;4,9;4,9;3,2;4,8;1,4;3;1;3,6;2,5
1266;Masfjorden;2,3;2,9;5;2,5;6;1;3,6;6;5;2;4,5
1721;Verdal;3,8;3,3;3,8;3,9;2,5;3,6;2,9;3,4;2,4;4,7;1,4
1241;Fusa;3,5;2,7;2,8;3,2;5;3,5;3;4,7;2,6;4,3;1,7
1718;Leksvik;2,4;3,4;3;1,9;3,6;1,9;4;4,3;2,8;6;1,2
2002;Vardø;1,5;6;1,1;1,8;1;1,6;6;1,3;5,8;4,5;4
418;Nord-Odal;3;3,1;3,5;3,4;1,6;3,9;3,4;2,9;3,2;5;1,4
437;Tynset;3,7;2,8;3,6;4,2;5,1;2,6;2;4,6;2,8;4,6;1,9
517;Sel;1,9;3,4;2,9;2,2;2,5;1,8;4,2;4,7;4,4;5,1;1,9
1630;Åfjord;2,9;6;2,4;3,7;5,1;2,6;3,5;2,7;4,3;4;1,6
1563;Sunndal;3,1;4,3;3,3;4;3;1,8;4;4,4;5,3;2;3,5
1029;Lindesnes;3,9;2,3;4,9;4,2;2,8;3,5;1,8;2,5;2,6;5;1,6
912;Vegårshei;4;1,8;5,4;5,2;3,1;2;2,9;3,3;2,8;3,6;2
1515;Herøy;3,2;3,1;3,9;2,9;3,5;2,9;2,8;2,7;2,7;5,5;1,4
1134;Suldal;2,2;2,3;4,1;1,8;6;1,8;4,3;5,8;5,3;1;6
1620;Frøya;5,6;6;5,7;6;3,6;1,8;1;1,4;1;4,7;1,7
419;Sør-Odal;3,5;2,5;4,1;3,5;2,2;2,7;2,3;3,5;3,3;5,4;1,2
1927;Tranøy;2,7;2,8;4,3;2,4;3;1,2;3,7;4,7;3;4,8;2,7
128;Rakkestad;3,7;2,2;3,9;3,5;2,3;2,2;2,9;2,8;3;5,1;1,5
1525;Stranda;2,4;4,3;2,2;3,5;6;2;4,1;;1;6;1,7
1231;Ullensvang;2,4;1;4,3;3,3;5,6;4,6;3,3;4,8;3,5;2,5;2
815;Kragerø;2,9;3,3;3,2;2,6;1;4,1;3,6;3,5;2,9;4,8;1,7
1219;Bømlo;3,8;3,8;3,3;3,8;3,8;1,9;3,1;4,3;3;3,8;1,6
1832;Hemnes;1,5;4,5;2,3;2;2,9;3;6;3;5,2;2;4,7
430;Stor-Elvdal;1,8;3,3;2,1;2,7;1;4,7;4,2;5,1;4,2;4,2;1,4
534;Gran;3,5;3,6;3,8;3,8;3;2,8;2,3;3,9;2,8;5;1
1942;Nordreisa;4,2;3,1;4,9;3,7;2,3;3,1;1,5;3,6;1;5,7;2,2
538;Nordre Land;2,8;3,5;4,3;2,8;3;3,7;2,6;5,5;2,2;4,5;1,8
543;Vestre Slidre;1,6;1,5;3,4;1,7;5,8;4,7;2,4;4,5;3,3;5,1;2
1426;Luster;3,3;4,2;3,2;3,8;5,7;2,1;3,5;4,6;3,5;2,1;3,8
701;Horten;3,7;3,2;4,1;3,9;1;3,8;1,3;3,4;2,5;6;1
1223;Tysnes;2,5;2,5;4;2,4;4,2;2,6;2,5;3,9;3,9;4,7;1,9
528;Østre Toten;3;2,9;3,8;3,3;3;2,2;3,7;3,3;3,4;4,1;1,2
1411;Gulen;3,3;6;2,3;3,6;6;3,4;1,9;5,5;4,1;2,8;2,9
814;Bamble;2,3;2;2,9;1,9;1,7;4,6;3,3;5;4,2;4,1;1,6
620;Hol;2,7;5,6;1,8;2,7;5,1;1,4;4,5;5;5,5;1;5,2
1870;Sortland;3,9;3,2;4;4,3;3,3;3,1;1,6;3,7;2,1;4,9;1,6
831;Fyresdal;3,6;3,7;3,9;3,2;3,8;4,3;2,8;6;2,8;1,5;4,7
1818;Herøy;2,9;4,8;3,8;2,5;1;3,1;2,8;2;3,8;4,9;2,5
529;Vestre Toten;3,3;3,2;3,2;3,3;3,1;3,2;3,4;2;2,1;5;1,4
1936;Karlsøy;1,5;3,8;3,6;1,9;2,8;5,1;4,4;4;2,5;3,7;3,3
1612;Hemne;2,9;3,7;2,8;3,6;3,4;3,1;2,7;5,3;4,1;3,6;2,1
1923;Salangen;2,7;5,6;4,2;3,1;2,8;5,3;3,7;3,6;2,9;2,3;2,4
429;Åmot;3,4;4,4;1,9;4;2,1;1,4;3,4;2,9;2,5;5,5;2
1919;Gratangen;1,2;3,1;2,4;2,2;1,9;1,6;4,4;4,4;3,8;5,4;3,2
2023;Gamvik;4,3;6;1,6;4,6;1;6;4,1;3,1;2;1;5,5
542;Nord-Aurdal;2,2;3,7;2,8;1,8;4,9;3,7;2,6;3,9;4,2;4,3;2
1566;Surnadal;2,9;4,3;2,9;3,3;4,5;5;2,2;3,8;3,4;3,5;1,9
1925;Sørreisa;4,2;4,2;2,8;4,9;3,5;5;1,8;3,2;1,6;4;1,5
1854;Ballangen;1;4,2;1,4;1;1;4,1;6;5,3;3,7;3,8;2
1857;Værøy;3,4;3,1;4,6;3,5;2,9;6;1,8;5;1;3,7;2,5
1815;Vega;2,1;5,8;2,7;2,6;3;5,5;3,6;1,3;3,6;3,4;2,9
1560;Tingvoll;2,9;2,3;4,2;3,3;3;3,2;2,6;2,5;2,7;5;1,3
1534;Haram;2,9;2,3;4;3,4;4,2;1,9;2,7;4,5;2;5,2;1,1
2017;Kvalsund;1;3,4;2,2;1;2,2;4,2;4,1;2,3;5;3,7;6
1111;Sokndal;2,2;2,2;4,7;2,2;4;1,7;4,1;4,8;3,4;3,4;1,5
1933;Balsfjord;3;5,9;2,9;3,7;3,3;4,8;2;3,4;2,6;4,2;2,2
1222;Fitjar;3,9;3,2;3,9;3,5;3,9;1,8;2,6;4,7;3;3,1;2,4
1439;Vågsøy;2,5;1,6;4,4;2,4;3,9;2,4;3,1;2,8;2,8;4,9;1,6
1129;Forsand;3,7;1,6;3,2;3,2;4,5;1,6;3,3;3,7;4,9;1;6
728;Lardal;3,1;1;2,9;3,3;3;2,5;2,6;5,4;4,6;3,7;1,3
1812;Sømna;3;3,6;3,5;3;4;3,8;1,7;3,2;3;4,6;2,1
805;Porsgrunn;3,6;3,3;4;3,8;1,2;3,1;2,6;3,6;2,3;4,6;1,4
938;Bygland;2,9;6;2,3;1,8;2,5;4,2;3,2;2,8;5;2,1;5,2
1749;Flatanger;1,8;6;1;2;5,6;4,2;3,8;3,7;3;4;2,8
1438;Bremanger;1,7;1,7;3;2,6;4;2,7;6;4,2;2,5;2,3;3,6
1868;Øksnes;3;2,6;2,7;3,6;1,5;4,1;2,9;3,1;2,1;5,2;1,2
540;Sør-Aurdal;1,2;4,1;2,1;1,5;4,9;1,9;3,7;4,2;4,1;5,2;1,6
1545;Midsund;3,4;3,1;3,6;4;4,8;1,8;1,9;3,4;2,4;4,9;1,7
1742;Grong;2,3;1;5,7;2,8;3,3;2,4;3,1;2,7;4;2,9;3,4
1913;Skånland;2,9;1,6;5,1;2,5;2,2;2,2;3,2;4;2,6;4;2,2
1444;Hornindal;2,3;2,4;1,3;3,5;6;2,7;1,7;4,2;4,9;4,6;1,9
1445;Gloppen;2,8;4,5;3,5;2,2;6;1,9;2,6;3;3,1;4,4;1,5
1551;Eide;2,7;1,7;3;2,4;4,6;3;2,2;3,1;4,2;4,6;1
1828;Nesna;3,4;5,5;5,5;4,2;1,4;3,1;2,4;4,5;2,4;2,8;2,6
619;Ål;2,4;3,2;3,3;2,8;5,7;1,3;3,1;4,5;4;3,4;2,1
1234;Granvin;2,2;6;1,6;2,2;5,7;2,2;2,7;4,3;5,1;3,2;3,4
827;Hjartdal;3;2,7;3,5;3,8;5,8;1,2;3,4;5,6;3,5;1,8;3,6
1505;Kristiansund;3,9;2,9;3,9;3,7;1,7;3,7;2,9;2,5;1,7;3,9;1,5
515;Vågå;1,9;1;3,4;2,4;4,5;2,6;3,5;4,5;3,6;3,7;2,3
1805;Narvik;2,7;3,2;4,4;3;1,9;2,7;3,1;3,6;3;3,8;2,5
426;Våler;1,9;2,1;2,7;2,3;1,8;2,8;3,7;2,9;4,4;4,6;1,4
621;Sigdal;2,2;3,4;1,8;1,8;5,5;1,8;3,1;5,3;2,5;5,3;1,6
432;Rendalen;1;4,2;2,4;1;2,9;1,1;3,4;5;5,5;4,7;3
1576;Aure;1,8;2,5;2,9;2,7;3,7;1,9;3;5,3;4;3,6;4,2
1902;Tromsø;3,9;3,7;3,9;3,9;3,5;4,6;1,4;1,9;2,3;3,7;2
439;Folldal;1;1;2,1;2,2;5,8;1,5;4,1;4,2;3,8;4,7;2,2
1841;Fauske;2,4;3,1;2,7;2,5;2,9;3,7;4;2,1;2,6;4;2,5
1750;Vikna;4,4;2,8;3,5;4,7;3,5;3;1,1;2,5;1,6;4,8;1,6
1636;Meldal;3,5;3;4,7;3,7;3,2;1;2,4;4,6;2,8;3,9;1,2
522;Gausdal;2,6;2,5;3,9;3,3;5,7;2,7;2,3;3,1;3,9;3,3;2
1755;Leka;1;2;2,9;1;5,1;6;2,8;5,5;2,6;3,6;3,8
1911;Kvæfjord;2,5;4,9;3,6;2,8;2,4;2,9;4,9;5,9;3,1;1,2;2,1
1627;Bjugn;3,7;2,5;5,9;3,3;2,4;4,3;1;1;1;5,4;1
1633;Osen;1,1;3;3,5;1,9;4;1;3;4,5;3;6;2
1431;Jølster;2,8;1,5;3,1;4,4;6;2,8;2,8;1,7;3,1;3,3;2,1
516;Nord-Fron;2,4;1,8;3,2;2,6;3,9;3,7;3;4,5;3;3;3,4
2012;Alta;4;2,7;3,5;4,9;2,8;4,5;1,1;4;2,8;2,8;2,6
1573;Smøla;2,1;1,7;2,9;1,7;4;3;2,9;4,4;3,6;3,9;2,5
817;Drangedal;3;1;4,1;3,8;2,4;1;2,8;2,9;2,4;5;1,6
914;Tvedestrand;2,8;3,2;4,3;2,2;1;2,7;2,8;5;1,6;5;1
2014;Loppa;1;2,9;1;1;3,4;1,5;4,3;6;5,2;2,9;5,9
830;Nissedal;3,2;1;6;3;4;1,6;3,6;4,3;3,4;1;3
1401;Flora;3,5;3,1;4;3,9;3,9;3,6;2,5;1,7;2,2;3,2;1,9
536;Søndre Land;2,4;4,7;2,1;2,4;1,1;5,6;3,9;4,7;3,2;2,6;1,1
1523;Ørskog;3,9;3;4,5;2,8;4,2;1;2,8;3,7;2;3,3;1,8
1738;Lierne;1;3,2;1;1;6;2,3;3,7;4,5;3,1;4,8;3,6
1816;Vevelstad;1,9;1;4,5;1,7;3,8;4,9;2,4;6;2,8;2,6;3,5
2020;Porsanger;1;2,1;1,9;1;2;3;5,2;5;3,3;3,7;2,6
1424;Årdal;2,2;1,5;4,1;2,9;3;3,7;3,6;4,1;3,4;1,5;4,1
1725;Namdalseid;1,6;2,5;3,2;1,2;4,3;1,4;3,3;3,4;3,2;4,9;2,2
1135;Sauda;2,1;3,2;5;2,7;3,6;1,8;3,6;3,6;3,7;2,2;2,8
1557;Gjemnes;1,6;2,2;1,9;1,3;4,7;1,1;3,8;4,2;3,4;4,8;2,3
1412;Solund;1,8;3,4;1;1;4;4,7;3,1;4,7;2,1;4,5;3,4
616;Nes;1,9;5,2;2,6;2;4;1,9;3,2;4,8;3,1;3,9;2,8
1546;Sandøy;2,2;1,7;3,6;2,1;5,2;1,1;2,7;3,9;5,3;2,9;2,1
1228;Odda;2,2;2,9;3,3;3;3,2;2,6;3,8;4,5;3,6;1,1;5,9
2024;Berlevåg;1,7;6;1;1,8;2,1;1,4;5,3;1;6;1,7;5,6
111;Hvaler;3,9;3,2;4,8;2,3;1,5;6;1,7;3,1;2,7;1,8;2,6
1922;Bardu;4,1;2,9;3,8;3,7;4,9;3,5;2,1;2,2;2,7;1,5;3,5
428;Trysil;1,8;4;3,1;2;2,2;1,9;2,7;3,5;3,8;4,8;1,8
940;Valle;2,3;4,1;2,4;2,3;4,5;2,5;2,9;5,1;4,7;1;6
1929;Berg;3,1;4,9;3,9;2,5;2,3;3,8;1;3,6;2,1;4,1;3,7
441;Os;1,5;2,6;1;2,4;5,4;1;2,9;3,9;4;5,1;1,9
121;Rømskog;2,4;1;1;3,5;4,5;2,1;2,2;5,8;5,4;2,6;3
425;snes;2,1;3,1;2,7;2,3;1,3;2,6;2,6;5,1;1,7;5,7;1,1
1813;Brønnøy;3,8;3,3;4;4,1;2,9;3,8;2,1;2,7;1;3,3;1,6
1418;Balestrand;2,3;3,7;3,2;3,7;3,8;1,2;3,8;4,5;3,1;1,5;4,7
1145;Bokn;2,9;6;1,4;3,3;4,5;1,2;2,6;1;4,1;3,1;4,4
2019;Nordkapp;2,1;4,8;1,3;1,6;1,7;1,9;3,2;2,9;3,3;4,9;2,9
1739;Røyrvik;1;5,2;1;1;6;5,3;3,4;4,2;2,6;2,3;6
1820;Alstahaug;3,3;3,5;3,5;3,3;2,4;5,1;1;1;2,1;4,4;1,9
1632;Roan;1,3;2,3;3,1;2,2;5,6;1;3,7;4,5;1,9;4,2;2,6
1160;Vindafjord;3,3;2,4;3,8;3,6;5,3;1,9;1;4,6;1,5;4,1;1,9
1421;Aurland;3,5;6;2,4;3,5;4,1;1,1;2,7;6;2,4;1;6
1413;Hyllestad;1,3;3,7;1;2,9;5,4;4,2;3,5;5,1;2,2;2,6;3,3
1635;Rennebu;2;5,1;1,9;2,2;5;1,7;3,1;3,9;3,3;2,8;3
1874;Moskenes;1,9;2,3;2,8;3,6;3,5;3,1;3,2;5;1,2;3,2;2,5
1613;Snillfjord;1,4;2,3;1;2;5;2;2,9;5,2;3;4,3;2,3
1811;Bindal;1;1;2,9;1;2,5;2;2,8;4,2;6;2,6;4,3
521;Øyer;3,5;5;3,8;3,9;3,7;4,3;1,1;1,8;1,9;2,8;2,3
1511;Vanylven;1;1,4;1,8;1;4,2;1,9;4;4,5;3,5;4;1
1535;Vestnes;2,8;4;3,4;2,9;2,7;3,6;2,2;6;1,2;2,9;1,1
511;Dovre;1,6;3,4;2,2;1,9;3,2;2;2,9;3,8;3,4;3,9;1,9
1238;Kvam;3,3;3,6;4;3,3;4,3;2,4;1;2,5;1;4,1;2,7
826;Tinn;2,8;2,6;1,7;3,3;3,2;1;3,5;5,8;3,1;1;5,6
1928;Torsken;2,5;3,8;5;3;1,4;2,2;;;1,8;1,7;3,5
118;Aremark;1,8;1,4;1,7;1,4;2,7;5,6;3,5;1;2,1;3,5;2,4
1419;Leikanger;3,4;4,2;2,3;2,9;5,5;4,2;1,4;3,2;2;2,4;1,8
2030;Sør-Varanger;3,1;3,6;2,9;3,5;2,4;2,9;3,3;2,8;2,5;1,2;3,3
1539;Rauma;2,3;1;4,9;2;4,2;1;1,8;3,1;1;5;1,8
1940;Kåfjord;2,1;3,9;3,5;1,7;2,6;4,2;2;3,8;1,7;2,9;3,5
1543;Nesset;1,7;3,9;1,7;2,1;3,7;3,6;3,4;3,9;2,8;2,4;2,1
1926;Dyrøy;1,3;3,8;1,9;1,8;1,6;2,7;3,5;3,1;1,1;4,8;2,7
420;Eidskog;1,9;2,3;1,7;2,5;1;2,3;2;1,6;3,6;5,3;1,3
632;Rollag;1,4;6;1;3,3;5,2;1;2,9;6;3,5;2,1;3,2
1840;Saltdal;2;1,8;4,9;1,2;2,8;3,9;2,7;5,2;1;2,3;1,5
1839;Beiarn;1;3,9;3,3;1;4;3,3;2,5;5,1;3,8;1;5,4
1526;Stordal;2,3;1,3;1;3,6;4,2;2,5;1;2,8;2,6;4,7;1,8
1837;Meløy;1,6;1,7;3,5;2,6;3,3;1,4;2,1;5,9;2,5;2,8;2,7
2028;Båtsfjord;3,4;3,6;2,1;3,5;1,5;6;1;1;2,4;1,8;3,9
519;Sør-Fron;2,5;1;3,6;2,8;4,3;3,4;1,1;5,6;1,9;2,1;2,9
1422;Lærdal;2,3;4,6;1,5;2,8;4,8;2,3;2,7;2,7;2,2;1,8;4,1
2022;Lebesby;1,7;3,1;1;2,1;1,3;4,3;1,9;1;3;3,4;6
545;Vang;2,2;2,8;4;2,8;5,5;1;2,3;2,4;3,4;1;4,3
2018;Måsøy;1;5,6;1,9;1;1,1;3,2;3,7;5,6;2,3;1,9;4,9
513;Skjåk;1,1;3,4;1;1;4,8;4,3;2,6;5,8;4;1,1;3,5
1724;Verran;2;3,8;3,3;2,9;1;1,2;3,2;1;2,1;3,4;2,3
1416;Høyanger;2,1;2,1;1,9;3,1;2,8;2,2;3,6;2,6;2,9;1,5;3,1
1845;Sørfold;1,4;4;1,2;1,3;3,3;3,7;2,9;4,9;3;1;6
911;Gjerstad;2,8;2,9;3,4;3,3;1;3,3;1;1;3,5;2,6;2,1
833;Tokke;2,2;1;4,3;3;5,2;3,3;1;5,7;1;1;6
1133;Hjelmeland;2;1,2;2,9;2,2;5,5;3,3;1,4;4,6;2,5;1,6;3,7
1748;Fosnes;1;2,8;1;1;3,3;3,1;2,8;2;2,8;3,7;3,3
514;Lom;1,7;2,4;2,6;1,9;4,9;1;1,2;5,4;4,3;2,1;3
423;Grue;1;3,8;1,1;1,3;1,5;1,1;3,4;3,3;2,5;4,5;1,4
1265;Fedje;1;2,3;1;1,7;3,2;1,4;3,4;6;3,7;1,7;4
1524;Norddal;1;1;1,7;1;6;3,1;2,6;1;2,9;2,5;4,8
1938;Lyngen;1;4,2;1;1,2;3,3;2,9;2,2;1,5;2,9;4,2;2,7
1852;Tjeldsund;1;1;2,7;1;2,9;1,5;3;4,4;2,3;3,1;3,4
1242;Samnanger;3,3;3,2;4,8;2,8;3,1;1;1,3;1;1,9;2,3;2,7
1849;Hamarøy;3,1;4;6;1,8;2,5;1,7;1;;1,1;1,8;3
1867;Bø;1;4,3;1,6;2,1;1;3,4;2,6;3,3;1,7;3,8;1,9
1851;Lødingen;1;1,4;3,4;1,4;2,4;3,3;1;4,9;1,2;4,3;1,9
2025;Tana;1,9;4,5;1,8;2;3;4,1;1;3,4;1;2,7;3,7
819;Nome;2;1,7;3;2,6;2,2;1;2,3;2,4;1,3;3,3;1,7
1827;Dønna;1;1,5;1;1;2,3;2,3;2,5;4;1,7;3,6;3
1838;Gildeskål;2;3,6;3,5;2,6;2,5;1,7;1,3;3,3;1;2,5;3,6
1943;Kvænangen;1,7;2,5;2,5;1,6;1,9;6;1;4,7;1;1;5,1
1514;Sande;2,2;2,1;2,7;2,6;4,4;1,9;1;3,1;1;2,8;1,4
1850;Tysfjord;1,3;3,2;3,9;1,1;1;3,1;1;5;1;2,5;3,3
1853;Evenes;1,9;1;3,4;2;1;1;1,1;;1,8;3;2,5
1836;Rødøy;1,8;2,6;1,2;2,3;4,9;4,3;1;2,7;1;1,5;2,5
1848;Steigen;1;4,5;3,1;1;2,8;2,2;1;3,3;1;3;2,6
1917;Ibestad;1;3,4;1,5;1;3,2;1,9;1;3,1;1,4;3,3;2,9
2021;Karasjok;1,1;5,9;1;2;2,8;2,8;1;5;1;1,9;3,3